id,ingredients,ingredients_string,cuisine
21749,"['pasta', 'olive oil', 'crushed red pepper', 'cherry tomatoes', 'basil', 'ear of corn', 'mozzarella cheese', 'zucchini', 'salt', 'yellow squash', 'garlic']",pasta olive oil crushed red pepper cherry tomatoes basil ear of corn mozzarella cheese zucchini salt yellow squash garlic,E
44967,"['water', 'butter', 'ground sumac', 'ground lamb', 'ground cinnamon', 'grated parmesan cheese', 'all-purpose flour', 'onions', 'tomato paste', 'milk', 'red wine', 'feta cheese crumbles', 'penne', 'dried mint flakes', 'cayenne pepper', 'dried oregano']",water butter ground sumac ground lamb ground cinnamon grated parmesan cheese all-purpose flour onions tomato paste milk red wine feta cheese crumbles penne dried mint flakes cayenne pepper dried oregano,E
42969,"['curry powder', 'ground cumin', 'chicken wings', 'chopped onion', 'ground ginger', 'large garlic cloves', 'plain yogurt', 'chopped cilantro fresh']",curry powder ground cumin chicken wings chopped onion ground ginger large garlic cloves plain yogurt chopped cilantro fresh,B
44883,"['pasta', 'marinara sauce', 'dried basil', 'chicken fingers', 'mozzarella cheese', 'salt', 'parmesan cheese']",pasta marinara sauce dried basil chicken fingers mozzarella cheese salt parmesan cheese,E
20827,"['salt', 'custard powder', 'white sugar', 'eggs', 'margarine', 'self rising flour']",salt custard powder white sugar eggs margarine self rising flour,A
23196,"['vegetable oil cooking spray', 'egg whites', 'apricot nectar', 'eggs', 'papaya', 'french bread', 'fresh lime juice', 'skim milk', 'dried apricot', 'brie cheese', 'brown sugar', 'honey', 'salt']",vegetable oil cooking spray egg whites apricot nectar eggs papaya french bread fresh lime juice skim milk dried apricot brie cheese brown sugar honey salt,A
35387,"['vanilla ice cream', 'banana liqueur', 'bananas', 'pineapple juice', 'chocolate syrup', 'whipped cream', 'coffee liqueur']",vanilla ice cream banana liqueur bananas pineapple juice chocolate syrup whipped cream coffee liqueur,A
33780,"['molasses', 'hot sauce', 'baked beans', 'Grey Poupon Dijon Mustard', 'onions', 'bacon']",molasses hot sauce baked beans Grey Poupon Dijon Mustard onions bacon,E
19001,"['chopped green chilies', 'sour cream', 'cheddar cheese', 'salt', 'white rice', 'ripe olives', 'water', 'grated jack cheese']",chopped green chilies sour cream cheddar cheese salt white rice ripe olives water grated jack cheese,D
16526,"['cold water', 'chicken drumsticks', 'chicken thighs', 'chicken seasoning mix', 'salt', 'vegetable oil', 'all-purpose flour', 'eggs', 'buttermilk']",cold water chicken drumsticks chicken thighs chicken seasoning mix salt vegetable oil all-purpose flour eggs buttermilk,A
42455,"['bean threads', 'suet', 'fresh shiitake mushrooms', 'firm tofu', 'water', 'large eggs', 'japanese greens', 'sugar', 'mirin', 'napa cabbage', 'scallions', 'soy sauce', 'enokitake', 'beef tenderloin']",bean threads suet fresh shiitake mushrooms firm tofu water large eggs japanese greens sugar mirin napa cabbage scallions soy sauce enokitake beef tenderloin,C
47453,"['water', 'ground turmeric', 'salt', 'long-grain rice', 'butter']",water ground turmeric salt long-grain rice butter,B
42478,"['kosher salt', 'bay leaves', 'brown lentils', 'parsnips', 'sherry vinegar', 'baking potatoes', 'olive oil', 'shallots', 'carrots', 'fat free less sodium chicken broth', 'ground black pepper', 'chopped celery']",kosher salt bay leaves brown lentils parsnips sherry vinegar baking potatoes olive oil shallots carrots fat free less sodium chicken broth ground black pepper chopped celery,E
11885,"['kosher salt', 'vegetable oil', 'shrimp', 'herbs', 'nuoc cham', 'ground turmeric', 'ground black pepper', 'scallions', 'mung bean sprouts', 'lettuce leaves', 'rice flour']",kosher salt vegetable oil shrimp herbs nuoc cham ground turmeric ground black pepper scallions mung bean sprouts lettuce leaves rice flour,B
16585,"['arborio rice', 'olive oil', 'dry white wine', 'salt', 'brown butter', 'grated parmesan cheese', 'vegetable stock', 'smoked paprika', 'nutmeg', 'unsalted butter', 'shallots', 'garlic cloves', 'pepper', 'sweet potatoes', 'bacon', 'chopped fresh herbs']",arborio rice olive oil dry white wine salt brown butter grated parmesan cheese vegetable stock smoked paprika nutmeg unsalted butter shallots garlic cloves pepper sweet potatoes bacon chopped fresh herbs,E
29639,"['granny smith apples', 'bay leaves', 'apple cider', 'onions', 'clove', 'ground nutmeg', 'butter', 'salt', 'ground cinnamon', 'ground black pepper', 'turkey', 'low salt chicken broth', 'honey', 'apple cider vinegar', 'chopped celery']",granny smith apples bay leaves apple cider onions clove ground nutmeg butter salt ground cinnamon ground black pepper turkey low salt chicken broth honey apple cider vinegar chopped celery,E
26245,"['fish sauce', 'jalapeno chilies', 'scallions', 'lemongrass', 'basil', 'hot water', 'mint', 'lime', 'ginger', 'coriander', 'sugar', 'serrano peppers', 'garlic cloves']",fish sauce jalapeno chilies scallions lemongrass basil hot water mint lime ginger coriander sugar serrano peppers garlic cloves,C
38516,"['chicken wings', 'baking soda', 'rice vinegar', 'garlic cloves', 'honey', 'fine sea salt', 'scallions', 'toasted sesame seeds', 'fresh ginger', 'tamari soy sauce', 'oil', 'large egg whites', 'crushed red pepper flakes', 'apple juice', 'toasted sesame oil']",chicken wings baking soda rice vinegar garlic cloves honey fine sea salt scallions toasted sesame seeds fresh ginger tamari soy sauce oil large egg whites crushed red pepper flakes apple juice toasted sesame oil,C
47520,"['parmigiano reggiano cheese', 'figs', 'cracked black pepper', 'mint leaves', 'prosciutto', 'extra-virgin olive oil']",parmigiano reggiano cheese figs cracked black pepper mint leaves prosciutto extra-virgin olive oil,E
26212,"['cheese sauce', 'macaroni and cheese dinner', 'shredded sharp cheddar cheese']",cheese sauce macaroni and cheese dinner shredded sharp cheddar cheese,D
23696,"['kosher salt', 'serrano chile', 'tomatillos', 'avocado', 'garlic', 'white onion', 'cilantro leaves']",kosher salt serrano chile tomatillos avocado garlic white onion cilantro leaves,D
14926,"['asian eggplants', 'fresh ginger', 'basil leaves', 'garlic cloves', 'fresh coriander', 'roast', 'sauce', 'lime leaves', 'chicken stock', 'cherry tomatoes', 'mint leaves', 'green chilies', 'fresh pineapple', 'brown sugar', 'cooking oil', 'red curry paste', 'coconut milk']",asian eggplants fresh ginger basil leaves garlic cloves fresh coriander roast sauce lime leaves chicken stock cherry tomatoes mint leaves green chilies fresh pineapple brown sugar cooking oil red curry paste coconut milk,B
13292,"['dulce de leche', 'pumpkin seeds', 'water', 'food colouring', 'wafer']",dulce de leche pumpkin seeds water food colouring wafer,E
27346,"['sea salt', 'nori', 'hard-boiled egg', 'edamame', 'brown rice', 'toasted sesame seeds', 'green tea', 'ginger']",sea salt nori hard-boiled egg edamame brown rice toasted sesame seeds green tea ginger,C
1384,"['honey', 'green onions', 'corn starch', 'shrimp tails', 'sesame seeds', 'coarse salt', 'soy sauce', 'fresh ginger', 'vegetable oil', 'ground cayenne pepper', 'minute rice', 'ground pepper', 'garlic']",honey green onions corn starch shrimp tails sesame seeds coarse salt soy sauce fresh ginger vegetable oil ground cayenne pepper minute rice ground pepper garlic,C
15959,"['green bell pepper', 'diced tomatoes', 'chili powder', 'salt', 'water', 'white rice', 'vegetable oil', 'onions']",green bell pepper diced tomatoes chili powder salt water white rice vegetable oil onions,B
42297,"['fresh dill', 'beef stew meat', 'carrots', 'bay leaf', 'savoy cabbage', 'black pepper', 'beets', 'coarse kosher salt', 'canola oil', 'starchy potatoes', 'beef broth', 'sour cream', 'onions', 'tomato paste', 'red wine vinegar', 'garlic cloves', 'celery', 'allspice']",fresh dill beef stew meat carrots bay leaf savoy cabbage black pepper beets coarse kosher salt canola oil starchy potatoes beef broth sour cream onions tomato paste red wine vinegar garlic cloves celery allspice,E
46235,"['ground pepper', 'garlic', 'cumin seed', 'potatoes', 'cilantro leaves', 'onions', 'garam masala', 'salt', 'ghee', 'eggs', 'wonton wrappers', 'green chilies', 'ground turmeric']",ground pepper garlic cumin seed potatoes cilantro leaves onions garam masala salt ghee eggs wonton wrappers green chilies ground turmeric,B
21181,"['tomato paste', 'garam masala', 'onions', 'curry powder', 'crushed garlic', 'water', 'ground black pepper', 'chicken', 'celery salt', 'olive oil', 'salt']",tomato paste garam masala onions curry powder crushed garlic water ground black pepper chicken celery salt olive oil salt,B
9809,"['black pepper', 'diced tomatoes', 'cayenne pepper', 'chopped parsley', 'chicken broth', 'fresh thyme leaves', 'smoked sausage', 'scallions', 'celery ribs', 'bay leaves', 'garlic', 'rice', 'medium shrimp', 'boneless chicken skinless thigh', 'red pepper', 'salt', 'lemon juice']",black pepper diced tomatoes cayenne pepper chopped parsley chicken broth fresh thyme leaves smoked sausage scallions celery ribs bay leaves garlic rice medium shrimp boneless chicken skinless thigh red pepper salt lemon juice,E
22982,"['turkey carcass', 'bay leaves', 'smoked sausage', 'onions', 'bell pepper', 'parsley', 'oil', 'pepper', 'green onions', 'salt', 'flour', 'garlic', 'celery']",turkey carcass bay leaves smoked sausage onions bell pepper parsley oil pepper green onions salt flour garlic celery,E
23120,"['soy sauce', 'coarse salt', 'corn starch', 'light brown sugar', 'vegetable oil', 'orange juice', 'broccoli florets', 'round steaks', 'long grain white rice', 'ground pepper', 'rice vinegar', 'red bell pepper']",soy sauce coarse salt corn starch light brown sugar vegetable oil orange juice broccoli florets round steaks long grain white rice ground pepper rice vinegar red bell pepper,C
26743,"['unsalted butter', 'salt', 'water', 'blue cheese', 'dry white wine', 'freshly ground pepper', 'large eggs', 'all-purpose flour']",unsalted butter salt water blue cheese dry white wine freshly ground pepper large eggs all-purpose flour,A
12741,"['red kidney beans', 'sugar', 'coriander seeds', 'garlic', 'corn starch', 'red chili powder', 'water', 'jalapeno chilies', 'salt', 'ground oregano', 'tomatoes', 'white onion', 'chuck roast', 'purple onion', 'chipotle chile powder', 'cheddar cheese', 'lime juice', 'bacon', 'thyme', 'ground cumin']",red kidney beans sugar coriander seeds garlic corn starch red chili powder water jalapeno chilies salt ground oregano tomatoes white onion chuck roast purple onion chipotle chile powder cheddar cheese lime juice bacon thyme ground cumin,D
7050,"['ground black pepper', 'garlic cloves', 'dried oregano', 'capers', 'salt', 'albacore tuna in water', 'olive oil', 'anchovy fillets', 'arugula', 'boneless skinless chicken breasts', 'fresh lemon juice', 'canola mayonnaise']",ground black pepper garlic cloves dried oregano capers salt albacore tuna in water olive oil anchovy fillets arugula boneless skinless chicken breasts fresh lemon juice canola mayonnaise,E
22437,"['dried basil', 'green pepper', 'dried oregano', 'olive oil', 'roast beef', 'beef stock', 'roasted tomatoes', 'fresh basil', 'mushrooms', 'onions']",dried basil green pepper dried oregano olive oil roast beef beef stock roasted tomatoes fresh basil mushrooms onions,E
14760,"['olive oil', 'red bell pepper', 'saffron threads', 'ham', 'pimento stuffed green olives', 'hot spanish paprika', 'onions', 'arborio rice', 'low salt chicken broth', 'large shrimp']",olive oil red bell pepper saffron threads ham pimento stuffed green olives hot spanish paprika onions arborio rice low salt chicken broth large shrimp,E
10649,"['eggs', 'pepper', 'chili pepper flakes', 'all-purpose flour', 'warm water', 'active dry yeast', 'curry', 'onions', 'tumeric', 'water', 'butter', 'ground beef', 'bread crumbs', 'flour', 'salt']",eggs pepper chili pepper flakes all-purpose flour warm water active dry yeast curry onions tumeric water butter ground beef bread crumbs flour salt,A
48065,"['sugar', 'mint leaves', 'cilantro leaves', 'snappers', 'bawang goreng', 'okra', 'tomatoes', 'water', 'taro', 'beansprouts', 'fish sauce', 'tamarind juice', 'pineapple']",sugar mint leaves cilantro leaves snappers bawang goreng okra tomatoes water taro beansprouts fish sauce tamarind juice pineapple,C
39931,"['jasmine rice', 'chicken stock', 'sesame oil', 'green onions', 'soy sauce', 'frozen peas']",jasmine rice chicken stock sesame oil green onions soy sauce frozen peas,C
32935,"['pepper', 'dry white wine', 'all-purpose flour', 'polenta', 'tomato paste', 'olive oil', 'chicken drumsticks', 'chicken thighs', 'dried basil', 'chicken breast halves', 'garlic cloves', 'dried oregano', 'oil cured olives', 'cooking spray', 'salt', 'plum tomatoes']",pepper dry white wine all-purpose flour polenta tomato paste olive oil chicken drumsticks chicken thighs dried basil chicken breast halves garlic cloves dried oregano oil cured olives cooking spray salt plum tomatoes,E
40142,"['long beans', 'pork belly', 'basil leaves', 'garlic', 'dried shrimp', 'fish sauce', 'lemongrass', 'cilantro root', 'green beans', 'green peppercorns', 'chiles', 'palm sugar', 'thai chile', 'galangal', 'kaffir lime leaves', 'kosher salt', 'shallots', 'krachai']",long beans pork belly basil leaves garlic dried shrimp fish sauce lemongrass cilantro root green beans green peppercorns chiles palm sugar thai chile galangal kaffir lime leaves kosher salt shallots krachai,C
19103,"['chicken broth', 'plain yogurt', 'purple onion', 'mango', 'mayonaise', 'honey', 'fresh lime juice', 'roasted cashews', 'curry powder', 'salt', 'ground ginger', 'black pepper', 'boneless skinless chicken breasts', 'seedless red grapes']",chicken broth plain yogurt purple onion mango mayonaise honey fresh lime juice roasted cashews curry powder salt ground ginger black pepper boneless skinless chicken breasts seedless red grapes,B
38267,"['pepper', 'thai chile', 'eggplant', 'salt', 'olive oil', 'garlic', 'balsamic vinegar']",pepper thai chile eggplant salt olive oil garlic balsamic vinegar,E
30512,"['dried basil', 'cooking spray', 'garlic cloves', 'romano cheese', 'prosciutto', 'crushed red pepper', 'part-skim mozzarella cheese', 'lasagna noodles, cooked and drained', 'fat free cream cheese', '1% low-fat cottage cheese', 'large eggs', 'tomato basil sauce']","dried basil cooking spray garlic cloves romano cheese prosciutto crushed red pepper part-skim mozzarella cheese lasagna noodles, cooked and drained fat free cream cheese 1% low-fat cottage cheese large eggs tomato basil sauce",E
3324,"['dark soy sauce', 'regular soy sauce', 'bean sauce', 'minced ginger', 'szechwan peppercorns', 'corn starch', 'extra firm tofu', 'dried shiitake mushrooms', 'canola oil', 'sugar', 'green onions', 'medium firm tofu']",dark soy sauce regular soy sauce bean sauce minced ginger szechwan peppercorns corn starch extra firm tofu dried shiitake mushrooms canola oil sugar green onions medium firm tofu,C
26197,"['dry yeast', 'olive oil', 'warm water', 'salt', 'all-purpose flour', 'sugar', 'cooking spray']",dry yeast olive oil warm water salt all-purpose flour sugar cooking spray,A
384,"['dashi', 'orange zest', 'tangerine', 'shoyu', 'light soy sauce', 'salt', 'dried fish flakes', 'mirin']",dashi orange zest tangerine shoyu light soy sauce salt dried fish flakes mirin,C
47230,"['salmon fillets', 'cooking spray', 'vegetable oil', 'fermented black beans', 'low sodium soy sauce', 'minced garlic', 'rice wine', 'corn starch', 'sugar', 'peeled fresh ginger', 'crushed red pepper', 'fat free less sodium chicken broth', 'green onions', 'onion tops']",salmon fillets cooking spray vegetable oil fermented black beans low sodium soy sauce minced garlic rice wine corn starch sugar peeled fresh ginger crushed red pepper fat free less sodium chicken broth green onions onion tops,C
39748,"['ground black pepper', 'garlic', 'diced tomatoes in juice', 'chicken stock', 'cooked chicken', 'chopped onion', 'hot pepper sauce', 'salt', 'long grain white rice', 'green bell pepper', 'ground thyme', 'oil']",ground black pepper garlic diced tomatoes in juice chicken stock cooked chicken chopped onion hot pepper sauce salt long grain white rice green bell pepper ground thyme oil,E
41038,"['sugar', 'whipping cream', 'powdered sugar', 'semisweet chocolate', 'large egg yolks', 'corn starch', 'slivered almonds', 'whole milk']",sugar whipping cream powdered sugar semisweet chocolate large egg yolks corn starch slivered almonds whole milk,A
24878,"['cheddar cheese', 'large eggs', 'garlic cloves', 'masa harina', 'diced onions', 'vegetable oil spray', 'salt', 'canola oil', 'corn kernels', 'non-fat sour cream', 'corn tortillas', 'sugar', '2% reduced-fat milk', 'poblano chiles']",cheddar cheese large eggs garlic cloves masa harina diced onions vegetable oil spray salt canola oil corn kernels non-fat sour cream corn tortillas sugar 2% reduced-fat milk poblano chiles,D
42624,"['eggs', 'garlic', 'ampalaya', 'salt', 'luke warm water', 'ground black pepper', 'onions', 'tomatoes', 'cooking oil']",eggs garlic ampalaya salt luke warm water ground black pepper onions tomatoes cooking oil,E
45706,"['radishes', 'salt', 'red chili peppers', 'napa cabbage', 'pears', 'sugar', 'green onions', 'green chilies', 'water', 'garlic']",radishes salt red chili peppers napa cabbage pears sugar green onions green chilies water garlic,C
8874,"['salsa', 'taco seasoning', 'boneless skinless chicken breasts']",salsa taco seasoning boneless skinless chicken breasts,D
23878,"['diced onions', 'eggplant', 'crushed red pepper', 'red bell pepper', 'dried basil', 'paprika', 'long-grain rice', 'dried oregano', 'tomatoes', 'zucchini', 'chickpeas', 'celery', 'olive oil', 'vegetable broth', 'feta cheese crumbles']",diced onions eggplant crushed red pepper red bell pepper dried basil paprika long-grain rice dried oregano tomatoes zucchini chickpeas celery olive oil vegetable broth feta cheese crumbles,E
47234,"['oil', 'spring roll wrappers', 'Velveeta']",oil spring roll wrappers Velveeta,E
24075,"['olive oil', 'cilantro', 'roasted peanuts', 'beansprouts', 'brown sugar', 'large eggs', 'rice vinegar', 'shrimp', 'fish sauce', 'zucchini', 'garlic', 'garlic chili sauce', 'ketchup', 'green onions', 'cayenne pepper', 'red bell pepper']",olive oil cilantro roasted peanuts beansprouts brown sugar large eggs rice vinegar shrimp fish sauce zucchini garlic garlic chili sauce ketchup green onions cayenne pepper red bell pepper,C
46323,"['water', 'ground black pepper', 'salt', 'fresh parsley', 'crushed tomatoes', 'grated parmesan cheese', 'carrots', 'onions', 'sausage casings', 'olive oil', 'dry white wine', 'bay leaf', 'canned low sodium chicken broth', 'light cream', 'garlic', 'cornmeal']",water ground black pepper salt fresh parsley crushed tomatoes grated parmesan cheese carrots onions sausage casings olive oil dry white wine bay leaf canned low sodium chicken broth light cream garlic cornmeal,E
22562,"['garlic', 'shredded mozzarella cheese', 'mayonaise']",garlic shredded mozzarella cheese mayonaise,E
11358,"['fat free beef broth', 'ground pepper', 'beef tenderloin', 'water', 'cooking spray', 'garlic cloves', 'dried porcini mushrooms', 'fresh thyme', 'salt', 'olive oil', 'beaujolais', 'corn starch']",fat free beef broth ground pepper beef tenderloin water cooking spray garlic cloves dried porcini mushrooms fresh thyme salt olive oil beaujolais corn starch,E
9201,"['tumeric', 'garam masala', 'dried chickpeas', 'ground cumin', 'tomatoes', 'olive oil', 'lemon', 'ground coriander', 'chat masala', 'fresh ginger', 'sea salt', 'onions', 'amchur', 'cayenne', 'green chilies']",tumeric garam masala dried chickpeas ground cumin tomatoes olive oil lemon ground coriander chat masala fresh ginger sea salt onions amchur cayenne green chilies,B
38620,"['sundried tomato paste', 'thai basil', 'rice', 'onions', 'water', 'green onions', 'king prawns', 'pepper', 'mushrooms', 'garlic cloves', 'cherry tomatoes', 'butter', 'coconut milk']",sundried tomato paste thai basil rice onions water green onions king prawns pepper mushrooms garlic cloves cherry tomatoes butter coconut milk,E
47638,"['tapioca starch', 'cornflour', 'eggs', 'flaked coconut', 'sugar', 'butter', 'baking powder']",tapioca starch cornflour eggs flaked coconut sugar butter baking powder,A
21238,"['cream', 'cinnamon', 'cumin seed', 'ground turmeric', 'clove', 'mushrooms', 'garlic', 'onions', 'tomatoes', 'chili powder', 'salt', 'cashew nuts', 'tandoori spices', 'ginger', 'cardamom']",cream cinnamon cumin seed ground turmeric clove mushrooms garlic onions tomatoes chili powder salt cashew nuts tandoori spices ginger cardamom,B
11053,"['molasses', 'mirin', 'sake', 'sea scallops', 'button mushrooms', 'fresh ginger', 'worcestershire sauce', 'sugar', 'reduced sodium soy sauce', 'scallions']",molasses mirin sake sea scallops button mushrooms fresh ginger worcestershire sauce sugar reduced sodium soy sauce scallions,C
46602,"['asafoetida', 'ginger', 'ghee', 'black pepper', 'rice', 'moong dal', 'salt', 'cashew nuts', 'curry leaves', 'water', 'cumin seed']",asafoetida ginger ghee black pepper rice moong dal salt cashew nuts curry leaves water cumin seed,B
13937,"['mushroom caps', 'crushed red pepper', 'corn tortillas', 'serrano chile', 'avocado', 'jicama', 'garlic cloves', 'onions', 'ground cumin', 'cooking spray', 'salt', 'fresh lime juice', 'plum tomatoes', 'olive oil', 'colby jack cheese', 'poblano chiles', 'chopped cilantro fresh']",mushroom caps crushed red pepper corn tortillas serrano chile avocado jicama garlic cloves onions ground cumin cooking spray salt fresh lime juice plum tomatoes olive oil colby jack cheese poblano chiles chopped cilantro fresh,D
21876,"['large eggs', 'buttermilk', 'yellow corn meal', 'vegetable oil', 'ground pecans', 'chicken breast tenders', 'cajun seasoning', 'grated parmesan cheese', 'paprika']",large eggs buttermilk yellow corn meal vegetable oil ground pecans chicken breast tenders cajun seasoning grated parmesan cheese paprika,E
20798,"['tomatoes', 'ground black pepper', 'english cucumber', 'leg of lamb', 'kosher salt', 'greek style plain yogurt', 'garlic cloves', 'marjoram', 'pita bread', 'rice vinegar', 'oil', 'onions', 'dried thyme', 'dill', 'corn starch', 'dried oregano']",tomatoes ground black pepper english cucumber leg of lamb kosher salt greek style plain yogurt garlic cloves marjoram pita bread rice vinegar oil onions dried thyme dill corn starch dried oregano,E
24381,"['sugar', 'Shaoxing wine', 'salt', 'onions', 'white pepper', 'beef tenderloin', 'oyster sauce', 'soy sauce', 'sesame oil', 'scallions', 'dark soy sauce', 'cooking oil', 'garlic', 'corn starch']",sugar Shaoxing wine salt onions white pepper beef tenderloin oyster sauce soy sauce sesame oil scallions dark soy sauce cooking oil garlic corn starch,C
48178,"['tomatoes', 'green peas', 'long grain white rice', 'skinless chicken pieces', 'squid', 'saffron', 'olive oil', 'garlic', 'large shrimp', 'mussels', 'paprika', 'red bell pepper']",tomatoes green peas long grain white rice skinless chicken pieces squid saffron olive oil garlic large shrimp mussels paprika red bell pepper,E
45832,"['olive oil', 'kalamata', 'garlic cloves', 'fresh basil', 'white italian tuna in olive oil', 'salt', 'Italian bread', 'black pepper', 'watercress', 'rolls', 'flat leaf parsley', 'celery ribs', 'cannellini beans', 'purple onion', 'fresh lemon juice']",olive oil kalamata garlic cloves fresh basil white italian tuna in olive oil salt Italian bread black pepper watercress rolls flat leaf parsley celery ribs cannellini beans purple onion fresh lemon juice,E
27560,"['minced garlic', 'cooking oil', 'Gochujang base', 'fresh spinach', 'fresh ginger', 'daikon', 'cucumber', 'low sodium soy sauce', 'roasted sesame seeds', 'sesame oil', 'scallions', 'lean ground pork', 'large eggs', 'rice vinegar']",minced garlic cooking oil Gochujang base fresh spinach fresh ginger daikon cucumber low sodium soy sauce roasted sesame seeds sesame oil scallions lean ground pork large eggs rice vinegar,C
23247,"['large eggs', 'shells', 'caster sugar', 'double cream', 'raspberry jam', 'butter', 'self rising flour', 'whipped cream']",large eggs shells caster sugar double cream raspberry jam butter self rising flour whipped cream,A
28975,"['eggs', 'milk', 'pepper', 'all-purpose flour', 'vidalia onion', 'butter', 'water', 'Nu-Salt Salt Substitute']",eggs milk pepper all-purpose flour vidalia onion butter water Nu-Salt Salt Substitute,A
43230,"['black pepper', 'lemon', 'salt', 'whole wheat breadcrumbs', 'fresh mint', 'egg whites', 'garlic', 'garlic cloves', 'cucumber', 'fresh parsley', 'olive oil', 'extra-virgin olive oil', 'tzatziki', 'feta cheese crumbles', 'cooked quinoa', 'fresh dill', 'baby spinach', 'fine sea salt', 'fresh lemon juice', 'greek yogurt', 'onions']",black pepper lemon salt whole wheat breadcrumbs fresh mint egg whites garlic garlic cloves cucumber fresh parsley olive oil extra-virgin olive oil tzatziki feta cheese crumbles cooked quinoa fresh dill baby spinach fine sea salt fresh lemon juice greek yogurt onions,E
9126,"['shallots', 'plum tomatoes', 'garlic', 'fresh thyme leaves', 'Country Crock® Spread', 'grated parmesan cheese', 'panko breadcrumbs']",shallots plum tomatoes garlic fresh thyme leaves Country Crock® Spread grated parmesan cheese panko breadcrumbs,E
13021,"['dried thyme', 'garlic', 'cayenne pepper', 'red bell pepper', 'eggs', 'green onions', 'salt', 'shrimp', 'cooked white rice', 'tomatoes', 'ground black pepper', 'chopped celery', 'okra', 'bay leaf', 'green bell pepper', 'vegetable oil', 'all-purpose flour', 'hot water', 'onions']",dried thyme garlic cayenne pepper red bell pepper eggs green onions salt shrimp cooked white rice tomatoes ground black pepper chopped celery okra bay leaf green bell pepper vegetable oil all-purpose flour hot water onions,E
28194,"['dark soy sauce', 'pineapple', 'chili powder', 'cilantro leaves', 'muscovado sugar', 'pork steaks', 'tomato purée', 'vegetable oil', 'chinese five-spice powder']",dark soy sauce pineapple chili powder cilantro leaves muscovado sugar pork steaks tomato purée vegetable oil chinese five-spice powder,C
25617,"['lime', 'onions', 'ghee', 'cabbage', 'freshly ground pepper', 'Madras curry powder', 'kosher salt', 'ground beef']",lime onions ghee cabbage freshly ground pepper Madras curry powder kosher salt ground beef,B
36125,"['olive oil', 'pizza sauce', 'sausages', 'mozzarella cheese', 'grated parmesan cheese', 'goat cheese', 'fresh basil', 'zucchini', 'fresh oregano', 'pizza shells', 'mushrooms', 'oil']",olive oil pizza sauce sausages mozzarella cheese grated parmesan cheese goat cheese fresh basil zucchini fresh oregano pizza shells mushrooms oil,E
